Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 31.275
Mean relative error: 1.81%
Mean accuracy ratio: 98.19%

Smallest counter value: 1647
Largest counter value: 1724

Mean counter value: 1693.1
Mean absolute deviation: 18.9
Standard deviation: 22.563022847127552
Maximum deviation: 46.09999999999991
Variance: 509.09

Mean Counter Values per Word:
Word : Counter Value : Expected Value
gente           : 14.70         : 14.38
terra           : 14.00         : 13.88
rei             : 11.70         : 12.75
mar             : 10.80         : 11.75
mundo           : 7.60          : 6.31
co              : 6.40          : 6.69
céu             : 5.20          : 5.19
vê              : 4.60          : 4.12
forte           : 4.60          : 4.94
nome            : 4.50          : 4.50
outro           : 4.40          : 4.50
capitão         : 4.40          : 3.62
ó               : 4.30          : 4.88
reino           : 4.30          : 5.38
filho           : 4.30          : 3.44
fama            : 4.10          : 4.12
água            : 4.10          : 3.50
peito           : 4.00          : 4.75
águas           : 4.00          : 3.19
deus            : 3.80          : 3.62
guerra          : 3.70          : 3.12
mouro           : 3.70          : 3.12
enfim           : 3.70          : 3.88
armas           : 3.70          : 3.62
amor            : 3.60          : 3.94
vista           : 3.60          : 2.50
força           : 3.40          : 3.38
claro           : 3.30          : 2.75
naus            : 3.30          : 2.75
gentes          : 3.20          : 3.19
terras          : 3.10          : 3.06
gama            : 3.10          : 3.06
vida            : 3.10          : 3.44
dia             : 3.00          : 2.38
vendo           : 3.00          : 2.94
arte            : 3.00          : 2.31
cidade          : 2.90          : 2.94
há              : 2.90          : 2.88
mouros          : 2.90          : 2.69
nenhum          : 2.90          : 2.38
morte           : 2.90          : 3.06
tinha           : 2.90          : 3.56
d               : 2.80          : 2.56
coração         : 2.80          : 1.81
fogo            : 2.80          : 2.62
olhos           : 2.70          : 2.94
vento           : 2.70          : 2.69
armada          : 2.70          : 2.19
dele            : 2.70          : 1.88
alto            : 2.60          : 2.31
ilha            : 2.60          : 2.62
ondas           : 2.60          : 2.62
lei             : 2.60          : 2.19
si              : 2.60          : 2.44
manda           : 2.50          : 3.12
portugueses     : 2.50          : 1.31
voz             : 2.40          : 1.56
doce            : 2.40          : 2.12
dura            : 2.40          : 1.94
disse           : 2.40          : 2.19
nobre           : 2.40          : 2.25
pera            : 2.30          : 2.19
inimigos        : 2.30          : 1.75
ilustre         : 2.30          : 2.62
certo           : 2.30          : 2.25
índia           : 2.20          : 1.81
deuses          : 2.20          : 2.00
