Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 29.6
Mean relative error: 1.17%
Mean accuracy ratio: 98.83%

Smallest counter value: 2485
Largest counter value: 2606

Mean counter value: 2532.0
Mean absolute deviation: 29.6
Standard deviation: 36.13031967752292
Maximum deviation: 74.0
Variance: 1305.4

Mean Counter Values per Word:
Word : Counter Value : Expected Value
said            : 31.50         : 30.38
holmes          : 30.40         : 28.88
s               : 21.70         : 23.69
man             : 20.70         : 19.06
mr              : 18.20         : 17.19
little          : 16.30         : 16.81
shall           : 12.40         : 10.56
think           : 12.00         : 10.88
know            : 10.30         : 10.62
room            : 10.00         : 10.69
come            : 9.70          : 10.06
time            : 9.50          : 9.44
door            : 9.40          : 9.00
good            : 9.00          : 8.56
face            : 8.90          : 8.00
yes             : 8.40          : 7.81
matter          : 8.30          : 7.81
way             : 8.20          : 7.25
heard           : 7.70          : 7.06
came            : 7.70          : 9.12
hand            : 7.40          : 7.50
tell            : 7.20          : 6.19
house           : 7.10          : 7.50
night           : 6.90          : 7.38
found           : 6.70          : 6.75
t               : 6.60          : 6.06
case            : 6.60          : 7.31
day             : 6.60          : 6.69
friend          : 6.50          : 4.94
morning         : 6.40          : 6.44
sherlock        : 6.20          : 6.06
right           : 6.20          : 6.12
away            : 6.10          : 6.62
saw             : 6.00          : 5.56
round           : 5.90          : 5.06
oh              : 5.70          : 5.62
asked           : 5.50          : 5.50
woman           : 5.40          : 4.44
long            : 5.30          : 5.44
sir             : 5.10          : 4.88
seen            : 4.90          : 4.50
like            : 4.90          : 6.06
business        : 4.90          : 4.56
hands           : 4.90          : 4.56
young           : 4.90          : 5.06
lady            : 4.90          : 5.00
let             : 4.80          : 4.38
took            : 4.80          : 5.44
st              : 4.70          : 5.12
left            : 4.50          : 5.75
father          : 4.50          : 5.19
years           : 4.50          : 4.06
end             : 4.50          : 3.56
find            : 4.50          : 5.00
thought         : 4.40          : 4.81
chair           : 4.30          : 3.88
old             : 4.30          : 4.50
watson          : 4.20          : 5.06
look            : 4.20          : 4.56
remarked        : 4.20          : 4.00
light           : 4.20          : 4.69
cried           : 4.20          : 4.25
wife            : 4.20          : 3.75
having          : 4.20          : 4.25
street          : 4.10          : 5.19
head            : 4.10          : 4.25
went            : 4.10          : 4.25
got             : 4.10          : 3.31
small           : 4.10          : 4.94
place           : 4.00          : 3.38
bed             : 4.00          : 2.44
son             : 4.00          : 3.19
window          : 4.00          : 4.50
eyes            : 3.90          : 5.44
miss            : 3.90          : 5.50
mind            : 3.90          : 3.62
understand      : 3.90          : 3.00
half            : 3.90          : 3.81
sat             : 3.80          : 3.38
far             : 3.80          : 3.44
looking         : 3.60          : 3.38
course          : 3.60          : 3.69
doubt           : 3.60          : 4.00
table           : 3.50          : 3.19
suddenly        : 3.50          : 2.94
work            : 3.40          : 2.94
told            : 3.30          : 3.12
great           : 3.30          : 3.75
interest        : 3.30          : 2.38
leave           : 3.30          : 3.00
clear           : 3.30          : 2.75
thing           : 3.20          : 2.94
gone            : 3.20          : 2.81
red             : 3.20          : 3.19
knew            : 3.20          : 3.56
fire            : 3.10          : 2.81
answered        : 3.10          : 3.50
hat             : 3.10          : 3.12
certainly       : 3.10          : 2.81
dear            : 3.10          : 3.50
turned          : 3.10          : 3.19
possible        : 3.00          : 3.12
help            : 3.00          : 2.94
sure            : 3.00          : 2.69
black           : 2.90          : 3.19
mccarthy        : 2.90          : 2.31
baker           : 2.90          : 2.62
looked          : 2.90          : 3.19
open            : 2.90          : 4.00
better          : 2.80          : 3.19
mrs             : 2.80          : 2.75
brought         : 2.80          : 3.12
imagine         : 2.80          : 1.81
large           : 2.80          : 2.56
met             : 2.80          : 2.50
paper           : 2.80          : 2.75
pray            : 2.70          : 2.62
minutes         : 2.70          : 2.88
gave            : 2.70          : 2.88
stone           : 2.70          : 1.94
moment          : 2.70          : 2.25
men             : 2.70          : 2.50
money           : 2.70          : 2.75
soon            : 2.70          : 2.44
wish            : 2.70          : 2.75
rushed          : 2.70          : 2.06
london          : 2.70          : 2.56
gentleman       : 2.70          : 2.81
hope            : 2.70          : 1.94
don             : 2.60          : 1.88
companion       : 2.60          : 2.12
hardly          : 2.60          : 3.12
given           : 2.60          : 2.00
rucastle        : 2.60          : 2.38
point           : 2.60          : 2.81
sitting         : 2.60          : 2.06
evening         : 2.60          : 2.38
home            : 2.60          : 3.00
dark            : 2.60          : 2.50
life            : 2.60          : 3.00
set             : 2.60          : 2.69
lord            : 2.50          : 2.56
coat            : 2.50          : 1.81
passed          : 2.50          : 2.56
papers          : 2.50          : 2.81
office          : 2.50          : 1.62
singular        : 2.50          : 2.06
ll              : 2.50          : 2.12
waiting         : 2.50          : 2.12
position        : 2.50          : 1.38
strong          : 2.50          : 2.19
word            : 2.40          : 2.50
words           : 2.40          : 2.88
police          : 2.40          : 3.25
present         : 2.40          : 1.69
simon           : 2.40          : 2.50
threw           : 2.40          : 1.81
hair            : 2.30          : 2.81
believe         : 2.30          : 2.19
town            : 2.30          : 1.44
days            : 2.30          : 2.56
laid            : 2.30          : 2.00
husband         : 2.30          : 1.75
returned        : 2.30          : 2.25
o               : 2.30          : 2.19
entered         : 2.30          : 2.06
hard            : 2.30          : 1.81
dress           : 2.30          : 1.69
death           : 2.20          : 1.94
cry             : 2.20          : 1.75
going           : 2.20          : 2.00
road            : 2.20          : 2.25
cut             : 2.20          : 1.88
feet            : 2.20          : 1.75
forward         : 2.20          : 1.94
obvious         : 2.20          : 1.81
read            : 2.20          : 2.25
k               : 2.20          : 1.31
use             : 2.20          : 2.06
stoner          : 2.10          : 1.19
hear            : 2.10          : 2.00
true            : 2.10          : 1.81
strange         : 2.10          : 2.88
crime           : 2.10          : 2.00
pocket          : 2.10          : 1.44
carriage        : 2.10          : 1.38
quietly         : 2.10          : 1.25
things          : 2.00          : 1.69
headed          : 2.00          : 1.50
john            : 2.00          : 1.62
eye             : 2.00          : 1.50
slowly          : 2.00          : 1.19
fellow          : 2.00          : 2.12
led             : 2.00          : 1.56
bell            : 2.00          : 1.56
corner          : 2.00          : 2.00
client          : 2.00          : 1.94
past            : 2.00          : 1.81
year            : 2.00          : 1.81
colonel         : 2.00          : 1.81
mystery         : 2.00          : 1.38
ago             : 2.00          : 1.75
known           : 2.00          : 1.81
fear            : 2.00          : 1.75
doctor          : 1.90          : 2.44
remember        : 1.90          : 1.69
family          : 1.90          : 1.88
hall            : 1.90          : 1.19
best            : 1.90          : 1.94
opened          : 1.90          : 2.25
lay             : 1.90          : 2.62
stood           : 1.90          : 2.19
country         : 1.90          : 2.19
clock           : 1.90          : 2.38
able            : 1.90          : 1.94
fact            : 1.90          : 1.56
lestrade        : 1.90          : 2.38
started         : 1.90          : 1.50
bright          : 1.90          : 1.12
clay            : 1.90          : 0.94
mother          : 1.90          : 1.44
clair           : 1.90          : 1.69
nature          : 1.90          : 1.50
station         : 1.90          : 1.75
attention       : 1.80          : 1.50
address         : 1.80          : 1.56
heavy           : 1.80          : 1.88
daughter        : 1.80          : 1.44
windows         : 1.80          : 1.56
lane            : 1.80          : 1.44
turner          : 1.80          : 1.38
short           : 1.80          : 1.38
new             : 1.80          : 1.88
want            : 1.80          : 1.75
king            : 1.80          : 1.62
dressed         : 1.80          : 1.62
drawn           : 1.80          : 1.38
lamp            : 1.80          : 1.75
dr              : 1.80          : 1.81
bring           : 1.80          : 1.44
walked          : 1.80          : 1.75
mean            : 1.80          : 1.25
people          : 1.80          : 1.56
rooms           : 1.70          : 1.81
meet            : 1.70          : 1.06
facts           : 1.70          : 2.19
boy             : 1.70          : 1.31
white           : 1.70          : 1.81
turn            : 1.70          : 1.88
cab             : 1.70          : 1.62
public          : 1.70          : 1.31
story           : 1.70          : 2.19
england         : 1.70          : 1.25
absolutely      : 1.70          : 1.69
entirely        : 1.70          : 1.19
letter          : 1.70          : 1.88
held            : 1.70          : 1.62
ask             : 1.70          : 2.19
yard            : 1.70          : 1.00
holder          : 1.70          : 1.44
cold            : 1.70          : 1.38
coming          : 1.70          : 1.75
safe            : 1.70          : 1.25
bird            : 1.70          : 1.50
passage         : 1.60          : 1.44
force           : 1.60          : 0.94
remarkable      : 1.60          : 1.31
began           : 1.60          : 1.56
train           : 1.60          : 1.31
excellent       : 1.60          : 1.19
seven           : 1.60          : 2.00
steps           : 1.60          : 1.56
quick           : 1.60          : 1.56
floor           : 1.60          : 1.81
maid            : 1.60          : 1.38
air             : 1.60          : 1.69
standing        : 1.60          : 1.44
square          : 1.60          : 1.56
low             : 1.60          : 1.12
peculiar        : 1.60          : 1.25
appeared        : 1.60          : 1.69
speak           : 1.60          : 1.25
photograph      : 1.60          : 1.56
lodge           : 1.60          : 1.19
important       : 1.60          : 1.31
drove           : 1.60          : 1.62
usual           : 1.60          : 0.81
breakfast       : 1.60          : 1.44
question        : 1.60          : 2.19
reason          : 1.60          : 1.62
chamber         : 1.50          : 1.00
lock            : 1.50          : 1.00
step            : 1.50          : 1.50
thank           : 1.50          : 1.62
witness         : 1.50          : 0.94
neville         : 1.50          : 1.19
save            : 1.50          : 2.31
boots           : 1.50          : 1.06
rose            : 1.50          : 1.62
secret          : 1.50          : 1.25
married         : 1.50          : 1.56
poor            : 1.50          : 1.44
ran             : 1.50          : 1.88
noble           : 1.50          : 0.88
girl            : 1.50          : 1.69
lying           : 1.50          : 0.88
sound           : 1.50          : 1.94
broad           : 1.50          : 1.00
line            : 1.50          : 1.19
ah              : 1.50          : 2.00
afraid          : 1.50          : 1.31
ready           : 1.50          : 1.50
sister          : 1.50          : 2.12
wedding         : 1.50          : 1.38
hatherley       : 1.50          : 1.12
hunter          : 1.50          : 1.38
majesty         : 1.50          : 1.12
afternoon       : 1.50          : 1.06
near            : 1.50          : 1.94
rest            : 1.50          : 1.19
experience      : 1.50          : 1.25
blue            : 1.40          : 1.62
week            : 1.40          : 1.69
observe         : 1.40          : 1.19
felt            : 1.40          : 2.06
irene           : 1.40          : 1.06
dreadful        : 1.40          : 1.06
importance      : 1.40          : 1.00
called          : 1.40          : 1.62
ground          : 1.40          : 1.44
sign            : 1.40          : 1.19
features        : 1.40          : 0.88
body            : 1.40          : 1.31
goose           : 1.40          : 1.69
seeing          : 1.40          : 1.38
coronet         : 1.40          : 1.75
appears         : 1.40          : 1.06
matters         : 1.40          : 1.25
hour            : 1.40          : 2.19
visitor         : 1.40          : 1.69
written         : 1.40          : 1.25
deep            : 1.40          : 1.62
impression      : 1.40          : 1.00
need            : 1.40          : 1.31
ring            : 1.40          : 1.06
court           : 1.40          : 1.19
charge          : 1.40          : 0.81
adventure       : 1.40          : 1.19
marriage        : 1.40          : 1.69
ha              : 1.40          : 1.38
letters         : 1.40          : 1.69
likely          : 1.40          : 1.50
live            : 1.40          : 0.94
professional    : 1.40          : 0.88
figure          : 1.30          : 1.19
high            : 1.30          : 1.62
order           : 1.30          : 1.31
comes           : 1.30          : 0.94
contrary        : 1.30          : 0.69
happened        : 1.30          : 1.44
feeling         : 1.30          : 1.06
caught          : 1.30          : 1.25
close           : 1.30          : 1.25
child           : 1.30          : 1.31
struck          : 1.30          : 1.50
hosmer          : 1.30          : 1.44
arthur          : 1.30          : 1.31
signs           : 1.30          : 0.81
followed        : 1.30          : 1.56
carried         : 1.30          : 1.38
second          : 1.30          : 1.56
return          : 1.30          : 1.19
wished          : 1.30          : 0.75
finger          : 1.30          : 1.19
foot            : 1.30          : 0.94
sight           : 1.30          : 1.31
claim           : 1.30          : 0.94
talk            : 1.30          : 1.25
silent          : 1.30          : 1.19
picked          : 1.30          : 0.62
note            : 1.30          : 2.25
chin            : 1.30          : 0.75
person          : 1.30          : 1.38
sprang          : 1.30          : 1.44
fresh           : 1.30          : 1.25
advertisement   : 1.30          : 1.25
earth           : 1.30          : 1.25
city            : 1.30          : 1.31
windibank       : 1.30          : 1.25
hotel           : 1.30          : 0.88
writing         : 1.20          : 0.75
laughed         : 1.20          : 1.25
evidently       : 1.20          : 0.88
box             : 1.20          : 1.19
spoke           : 1.20          : 1.69
late            : 1.20          : 1.75
glancing        : 1.20          : 1.44
tried           : 1.20          : 0.81
bedroom         : 1.20          : 1.12
