Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 38.56125
Mean relative error: 1.53%
Mean accuracy ratio: 98.47%

Smallest counter value: 2334
Largest counter value: 2710

Mean counter value: 2524.0103
Mean absolute deviation: 38.56249569999999
Standard deviation: 48.346656491530005
Maximum deviation: 190.01029999999992
Variance: 2337.39919391

Mean Counter Values per Word:
Word : Counter Value : Expected Value
white           : 1.83          : 1.81
true            : 1.83          : 1.81
imagine         : 1.83          : 1.81
god             : 1.82          : 1.81
obvious         : 1.82          : 1.81
hard            : 1.82          : 1.81
threw           : 1.81          : 1.81
year            : 1.81          : 1.81
past            : 1.81          : 1.81
floor           : 1.81          : 1.81
coat            : 1.80          : 1.81
known           : 1.79          : 1.81
rooms           : 1.79          : 1.81
feet            : 1.76          : 1.75
coronet         : 1.76          : 1.75
fear            : 1.76          : 1.75
lamp            : 1.75          : 1.75
cry             : 1.75          : 1.75
late            : 1.75          : 1.75
walked          : 1.75          : 1.75
taken           : 1.75          : 1.75
ago             : 1.75          : 1.75
station         : 1.75          : 1.75
husband         : 1.75          : 1.75
manner          : 1.75          : 1.75
want            : 1.74          : 1.75
lost            : 1.73          : 1.75
coming          : 1.72          : 1.75
goose           : 1.71          : 1.69
remember        : 1.70          : 1.69
clair           : 1.70          : 1.69
week            : 1.69          : 1.69
dress           : 1.69          : 1.69
letters         : 1.69          : 1.69
girl            : 1.69          : 1.69
present         : 1.69          : 1.69
absolutely      : 1.69          : 1.69
marriage        : 1.69          : 1.69
things          : 1.69          : 1.69
appeared        : 1.68          : 1.69
spoke           : 1.68          : 1.69
air             : 1.67          : 1.69
visitor         : 1.67          : 1.69
king            : 1.64          : 1.62
rose            : 1.64          : 1.62
reason          : 1.64          : 1.62
drove           : 1.63          : 1.62
dressed         : 1.63          : 1.62
thank           : 1.62          : 1.62
held            : 1.62          : 1.62
blue            : 1.62          : 1.62
called          : 1.62          : 1.62
high            : 1.62          : 1.62
cab             : 1.61          : 1.62
office          : 1.61          : 1.62
deep            : 1.61          : 1.62
john            : 1.60          : 1.62
address         : 1.58          : 1.56
led             : 1.58          : 1.56
photograph      : 1.57          : 1.56
easy            : 1.57          : 1.56
quick           : 1.57          : 1.56
bell            : 1.56          : 1.56
windows         : 1.56          : 1.56
began           : 1.56          : 1.56
second          : 1.56          : 1.56
chance          : 1.56          : 1.56
people          : 1.56          : 1.56
heart           : 1.56          : 1.56
followed        : 1.56          : 1.56
married         : 1.56          : 1.56
steps           : 1.55          : 1.56
fact            : 1.55          : 1.56
square          : 1.54          : 1.56
attention       : 1.52          : 1.50
headed          : 1.51          : 1.50
bird            : 1.51          : 1.50
nature          : 1.51          : 1.50
silence         : 1.51          : 1.50
grey            : 1.50          : 1.50
outside         : 1.50          : 1.50
started         : 1.50          : 1.50
struck          : 1.50          : 1.50
eye             : 1.50          : 1.50
cases           : 1.50          : 1.50
step            : 1.50          : 1.50
ready           : 1.49          : 1.50
likely          : 1.48          : 1.50
happened        : 1.45          : 1.44
sort            : 1.45          : 1.44
town            : 1.45          : 1.44
poor            : 1.44          : 1.44
daughter        : 1.44          : 1.44
bring           : 1.44          : 1.44
hosmer          : 1.44          : 1.44
holder          : 1.44          : 1.44
pocket          : 1.44          : 1.44
idea            : 1.44          : 1.44
passage         : 1.44          : 1.44
lane            : 1.43          : 1.44
sprang          : 1.43          : 1.44
breakfast       : 1.43          : 1.44
standing        : 1.43          : 1.44
glancing        : 1.43          : 1.44
mother          : 1.42          : 1.44
ground          : 1.42          : 1.44
ha              : 1.39          : 1.38
drawn           : 1.39          : 1.38
hunter          : 1.39          : 1.38
wedding         : 1.39          : 1.38
position        : 1.39          : 1.38
glanced         : 1.39          : 1.38
wilson          : 1.39          : 1.38
occurred        : 1.38          : 1.38
person          : 1.38          : 1.38
observed        : 1.38          : 1.38
carriage        : 1.38          : 1.38
clothes         : 1.38          : 1.38
carried         : 1.38          : 1.38
closed          : 1.38          : 1.38
mary            : 1.37          : 1.38
short           : 1.37          : 1.38
seeing          : 1.37          : 1.38
hurried         : 1.37          : 1.38
cold            : 1.37          : 1.38
maid            : 1.36          : 1.38
mystery         : 1.36          : 1.38
turner          : 1.36          : 1.38
stepfather      : 1.33          : 1.31
thin            : 1.33          : 1.31
quiet           : 1.33          : 1.31
sight           : 1.33          : 1.31
interesting     : 1.32          : 1.31
arthur          : 1.32          : 1.31
angel           : 1.32          : 1.31
need            : 1.32          : 1.31
boy             : 1.32          : 1.31
city            : 1.32          : 1.31
danger          : 1.32          : 1.31
afraid          : 1.32          : 1.31
kind            : 1.31          : 1.31
child           : 1.31          : 1.31
order           : 1.31          : 1.31
train           : 1.31          : 1.31
body            : 1.31          : 1.31
points          : 1.31          : 1.31
public          : 1.31          : 1.31
considerable    : 1.31          : 1.31
k               : 1.30          : 1.31
important       : 1.30          : 1.31
james           : 1.30          : 1.31
remarkable      : 1.30          : 1.31
drive           : 1.30          : 1.31
roylott         : 1.29          : 1.31
peculiar        : 1.27          : 1.25
matters         : 1.27          : 1.25
close           : 1.27          : 1.25
talk            : 1.27          : 1.25
england         : 1.27          : 1.25
mean            : 1.26          : 1.25
problem         : 1.26          : 1.25
windibank       : 1.26          : 1.25
cause           : 1.25          : 1.25
sent            : 1.25          : 1.25
caught          : 1.25          : 1.25
experience      : 1.25          : 1.25
earth           : 1.25          : 1.25
character       : 1.25          : 1.25
safe            : 1.25          : 1.25
fresh           : 1.25          : 1.25
frank           : 1.25          : 1.25
account         : 1.25          : 1.25
written         : 1.24          : 1.25
shown           : 1.24          : 1.25
laughed         : 1.24          : 1.25
fashion         : 1.24          : 1.25
opinion         : 1.24          : 1.25
secret          : 1.24          : 1.25
speak           : 1.24          : 1.25
quietly         : 1.24          : 1.25
hours           : 1.24          : 1.25
voice           : 1.24          : 1.25
advertisement   : 1.23          : 1.25
showed          : 1.23          : 1.25
extraordinary   : 1.21          : 1.19
pool            : 1.20          : 1.19
court           : 1.20          : 1.19
advice          : 1.20          : 1.19
pipe            : 1.20          : 1.19
suppose         : 1.20          : 1.19
excellent       : 1.20          : 1.19
return          : 1.19          : 1.19
sign            : 1.19          : 1.19
line            : 1.19          : 1.19
reached         : 1.19          : 1.19
wait            : 1.19          : 1.19
effect          : 1.19          : 1.19
observe         : 1.19          : 1.19
neville         : 1.19          : 1.19
entirely        : 1.19          : 1.19
stoner          : 1.19          : 1.19
single          : 1.19          : 1.19
details         : 1.19          : 1.19
means           : 1.19          : 1.19
finally         : 1.19          : 1.19
simple          : 1.19          : 1.19
placed          : 1.19          : 1.19
direction       : 1.19          : 1.19
hall            : 1.18          : 1.19
box             : 1.18          : 1.19
uncle           : 1.18          : 1.19
dead            : 1.18          : 1.19
rest            : 1.18          : 1.19
colour          : 1.18          : 1.19
finger          : 1.18          : 1.19
lodge           : 1.18          : 1.19
slowly          : 1.18          : 1.19
adventure       : 1.17          : 1.19
silent          : 1.17          : 1.19
figure          : 1.17          : 1.19
garden          : 1.14          : 1.12
coroner         : 1.14          : 1.12
water           : 1.14          : 1.12
bright          : 1.13          : 1.12
company         : 1.13          : 1.12
majesty         : 1.13          : 1.12
morrow          : 1.13          : 1.12
lips            : 1.13          : 1.12
locked          : 1.13          : 1.12
remained        : 1.13          : 1.12
news            : 1.12          : 1.12
laughing        : 1.12          : 1.12
times           : 1.12          : 1.12
bedroom         : 1.12          : 1.12
love            : 1.12          : 1.12
hatherley       : 1.12          : 1.12
won             : 1.12          : 1.12
listened        : 1.12          : 1.12
low             : 1.12          : 1.12
happy           : 1.12          : 1.12
glad            : 1.11          : 1.12
gold            : 1.11          : 1.12
fell            : 1.11          : 1.12
miles           : 1.08          : 1.06
glance          : 1.07          : 1.06
appears         : 1.07          : 1.06
feel            : 1.07          : 1.06
surprised       : 1.07          : 1.06
making          : 1.07          : 1.06
d               : 1.07          : 1.06
ring            : 1.07          : 1.06
dreadful        : 1.07          : 1.06
instantly       : 1.06          : 1.06
evidence        : 1.06          : 1.06
weeks           : 1.06          : 1.06
boots           : 1.06          : 1.06
thumb           : 1.06          : 1.06
geese           : 1.06          : 1.06
wooden          : 1.06          : 1.06
afternoon       : 1.06          : 1.06
drew            : 1.06          : 1.06
feeling         : 1.06          : 1.06
irene           : 1.06          : 1.06
meet            : 1.05          : 1.06
sit             : 1.05          : 1.06
innocent        : 1.05          : 1.06
pay             : 1.05          : 1.06
pulled          : 1.05          : 1.06
league          : 1.04          : 1.06
events          : 1.02          : 1.00
twice           : 1.01          : 1.00
sharp           : 1.01          : 1.00
centre          : 1.01          : 1.00
adler           : 1.01          : 1.00
double          : 1.01          : 1.00
brown           : 1.01          : 1.00
sudden          : 1.01          : 1.00
surprise        : 1.01          : 1.00
determined      : 1.01          : 1.00
boscombe        : 1.00          : 1.00
smiling         : 1.00          : 1.00
change          : 1.00          : 1.00
machine         : 1.00          : 1.00
openshaw        : 1.00          : 1.00
appearance      : 1.00          : 1.00
arrived         : 1.00          : 1.00
chamber         : 1.00          : 1.00
whispered       : 1.00          : 1.00
mad             : 1.00          : 1.00
impression      : 1.00          : 1.00
kindly          : 1.00          : 1.00
key             : 1.00          : 1.00
cleared         : 1.00          : 1.00
lock            : 1.00          : 1.00
pale            : 1.00          : 1.00
taking          : 1.00          : 1.00
explain         : 1.00          : 1.00
dressing        : 1.00          : 1.00
shook           : 1.00          : 1.00
confess         : 1.00          : 1.00
shoulders       : 0.99          : 1.00
examined        : 0.99          : 1.00
broad           : 0.99          : 1.00
dropped         : 0.99          : 1.00
turning         : 0.99          : 1.00
yard            : 0.99          : 1.00
lit             : 0.99          : 1.00
importance      : 0.99          : 1.00
trust           : 0.99          : 1.00
dog             : 0.99          : 1.00
world           : 0.96          : 0.94
waited          : 0.95          : 0.94
wrong           : 0.95          : 0.94
claim           : 0.95          : 0.94
comes           : 0.94          : 0.94
later           : 0.94          : 0.94
care            : 0.94          : 0.94
terrible        : 0.94          : 0.94
deal            : 0.94          : 0.94
truth           : 0.94          : 0.94
answer          : 0.94          : 0.94
walk            : 0.94          : 0.94
didn            : 0.94          : 0.94
force           : 0.94          : 0.94
slight          : 0.94          : 0.94
view            : 0.94          : 0.94
excuse          : 0.94          : 0.94
object          : 0.94          : 0.94
witness         : 0.94          : 0.94
cellar          : 0.94          : 0.94
toller          : 0.94          : 0.94
engaged         : 0.94          : 0.94
fancy           : 0.93          : 0.94
arms            : 0.93          : 0.94
blood           : 0.93          : 0.94
assistant       : 0.93          : 0.94
thirty          : 0.93          : 0.94
caused          : 0.93          : 0.94
probably        : 0.93          : 0.94
foot            : 0.93          : 0.94
certain         : 0.93          : 0.94
armchair        : 0.93          : 0.94
live            : 0.93          : 0.94
says            : 0.93          : 0.94
yellow          : 0.93          : 0.94
band            : 0.93          : 0.94
german          : 0.93          : 0.94
society         : 0.92          : 0.94
absolute        : 0.92          : 0.94
clay            : 0.92          : 0.94
friends         : 0.90          : 0.88
thick           : 0.89          : 0.88
monday          : 0.89          : 0.88
common          : 0.89          : 0.88
received        : 0.89          : 0.88
age             : 0.89          : 0.88
ve              : 0.88          : 0.88
smoke           : 0.88          : 0.88
died            : 0.88          : 0.88
wrote           : 0.88          : 0.88
lying           : 0.88          : 0.88
shot            : 0.88          : 0.88
noble           : 0.88          : 0.88
ventilator      : 0.88          : 0.88
darkness        : 0.88          : 0.88
envelope        : 0.88          : 0.88
reading         : 0.88          : 0.88
continued       : 0.88          : 0.88
presence        : 0.88          : 0.88
follow          : 0.88          : 0.88
bad             : 0.88          : 0.88
sum             : 0.88          : 0.88
walking         : 0.88          : 0.88
master          : 0.88          : 0.88
evidently       : 0.88          : 0.88
hotel           : 0.87          : 0.88
result          : 0.87          : 0.88
glass           : 0.87          : 0.88
professional    : 0.87          : 0.88
clearly         : 0.87          : 0.88
den             : 0.87          : 0.88
private         : 0.87          : 0.88
broke           : 0.87          : 0.88
precisely       : 0.87          : 0.88
promise         : 0.87          : 0.88
george          : 0.87          : 0.88
bank            : 0.87          : 0.88
swiftly         : 0.87          : 0.88
pass            : 0.87          : 0.88
affair          : 0.87          : 0.88
features        : 0.87          : 0.88
bent            : 0.87          : 0.88
pushed          : 0.87          : 0.88
wall            : 0.87          : 0.88
shoulder        : 0.87          : 0.88
early           : 0.86          : 0.88
church          : 0.86          : 0.88
difficult       : 0.86          : 0.88
run             : 0.86          : 0.88
frightened      : 0.86          : 0.88
impossible      : 0.86          : 0.88
amid            : 0.86          : 0.88
scene           : 0.85          : 0.88
charge          : 0.83          : 0.81
middle          : 0.83          : 0.81
deduce          : 0.82          : 0.81
clue            : 0.82          : 0.81
nearly          : 0.82          : 0.81
months          : 0.82          : 0.81
scandal         : 0.82          : 0.81
usual           : 0.82          : 0.81
spoken          : 0.82          : 0.81
missing         : 0.82          : 0.81
power           : 0.82          : 0.81
raise           : 0.82          : 0.81
expected        : 0.82          : 0.81
send            : 0.82          : 0.81
break           : 0.82          : 0.81
faced           : 0.82          : 0.81
running         : 0.81          : 0.81
example         : 0.81          : 0.81
building        : 0.81          : 0.81
stairs          : 0.81          : 0.81
trap            : 0.81          : 0.81
self            : 0.81          : 0.81
moran           : 0.81          : 0.81
yesterday       : 0.81          : 0.81
edge            : 0.81          : 0.81
start           : 0.81          : 0.81
wood            : 0.81          : 0.81
horner          : 0.81          : 0.81
slipped         : 0.81          : 0.81
different       : 0.81          : 0.81
throwing        : 0.81          : 0.81
heavily         : 0.81          : 0.81
horrible        : 0.81          : 0.81
houses          : 0.80          : 0.81
signs           : 0.80          : 0.81
copper          : 0.80          : 0.81
knowledge       : 0.80          : 0.81
gems            : 0.80          : 0.81
inside          : 0.80          : 0.81
tried           : 0.80          : 0.81
situation       : 0.80          : 0.81
ross            : 0.79          : 0.81
kept            : 0.77          : 0.75
pretty          : 0.77          : 0.75
merryweather    : 0.77          : 0.75
draw            : 0.76          : 0.75
investigation   : 0.76          : 0.75
results         : 0.76          : 0.75
passing         : 0.76          : 0.75
writing         : 0.76          : 0.75
looks           : 0.76          : 0.75
broken          : 0.76          : 0.75
ryder           : 0.76          : 0.75
human           : 0.76          : 0.75
lip             : 0.76          : 0.75
grew            : 0.76          : 0.75
inquiry         : 0.76          : 0.75
number          : 0.76          : 0.75
practice        : 0.76          : 0.75
cigar           : 0.76          : 0.75
perfectly       : 0.76          : 0.75
piece           : 0.76          : 0.75
lived           : 0.75          : 0.75
firm            : 0.75          : 0.75
law             : 0.75          : 0.75
honour          : 0.75          : 0.75
real            : 0.75          : 0.75
horror          : 0.75          : 0.75
beeches         : 0.75          : 0.75
weary           : 0.75          : 0.75
bohemia         : 0.75          : 0.75
opium           : 0.75          : 0.75
lascar          : 0.75          : 0.75
lens            : 0.75          : 0.75
reach           : 0.75          : 0.75
following       : 0.75          : 0.75
banker          : 0.75          : 0.75
interested      : 0.75          : 0.75
action          : 0.75          : 0.75
wished          : 0.75          : 0.75
streets         : 0.75          : 0.75
knows           : 0.75          : 0.75
trouble         : 0.75          : 0.75
ill             : 0.75          : 0.75
alive           : 0.75          : 0.75
shining         : 0.75          : 0.75
deeply          : 0.75          : 0.75
worn            : 0.75          : 0.75
chin            : 0.75          : 0.75
keen            : 0.75          : 0.75
iron            : 0.75          : 0.75
west            : 0.75          : 0.75
wonder          : 0.75          : 0.75
complete        : 0.75          : 0.75
blow            : 0.75          : 0.75
precious        : 0.75          : 0.75
possibly        : 0.75          : 0.75
pips            : 0.75          : 0.75
doran           : 0.75          : 0.75
lawn            : 0.74          : 0.75
state           : 0.74          : 0.75
subject         : 0.74          : 0.75
pair            : 0.74          : 0.75
raised          : 0.74          : 0.75
official        : 0.74          : 0.75
traces          : 0.74          : 0.75
madam           : 0.74          : 0.75
carry           : 0.74          : 0.75
narrative       : 0.74          : 0.75
tall            : 0.74          : 0.75
sheet           : 0.74          : 0.75
bradstreet      : 0.74          : 0.75
arm             : 0.74          : 0.75
alice           : 0.74          : 0.75
beg             : 0.74          : 0.75
statement       : 0.74          : 0.75
learn           : 0.70          : 0.69
wanted          : 0.70          : 0.69
jones           : 0.70          : 0.69
connection      : 0.70          : 0.69
reasoning       : 0.70          : 0.69
handed          : 0.70          : 0.69
exceedingly     : 0.70          : 0.69
sleep           : 0.70          : 0.69
rich            : 0.70          : 0.69
contrary        : 0.70          : 0.69
fall            : 0.70          : 0.69
horse           : 0.69          : 0.69
stoke           : 0.69          : 0.69
keeper          : 0.69          : 0.69
upstairs        : 0.69          : 0.69
fine            : 0.69          : 0.69
sutherland      : 0.69          : 0.69
fortune         : 0.69          : 0.69
peterson        : 0.69          : 0.69
evil            : 0.69          : 0.69
violence        : 0.69          : 0.69
dozen           : 0.69          : 0.69
sake            : 0.69          : 0.69
huge            : 0.69          : 0.69
returning       : 0.69          : 0.69
ways            : 0.69          : 0.69
strength        : 0.69          : 0.69
search          : 0.69          : 0.69
free            : 0.69          : 0.69
creature        : 0.69          : 0.69
acquaintance    : 0.69          : 0.69
value           : 0.69          : 0.69
plain           : 0.69          : 0.69
pointed         : 0.69          : 0.69
influence       : 0.69          : 0.69
seat            : 0.69          : 0.69
questioning     : 0.69          : 0.69
quarter         : 0.69          : 0.69
orange          : 0.69          : 0.69
covered         : 0.69          : 0.69
neighbourhood   : 0.68          : 0.69
curious         : 0.68          : 0.69
fingers         : 0.68          : 0.69
thrust          : 0.68          : 0.69
remark          : 0.68          : 0.69
opening         : 0.68          : 0.69
couple          : 0.68          : 0.69
scotland        : 0.68          : 0.69
presume         : 0.68          : 0.69
examination     : 0.68          : 0.69
ship            : 0.68          : 0.69
hot             : 0.68          : 0.69
lad             : 0.68          : 0.69
prisoner        : 0.68          : 0.69
throw           : 0.68          : 0.69
narrow          : 0.68          : 0.69
purpose         : 0.68          : 0.69
briony          : 0.68          : 0.69
snow            : 0.68          : 0.69
beautiful       : 0.68          : 0.69
formed          : 0.68          : 0.69
post            : 0.68          : 0.69
american        : 0.68          : 0.69
drawing         : 0.68          : 0.69
wind            : 0.67          : 0.69
fixed           : 0.67          : 0.69
america         : 0.64          : 0.62
memory          : 0.64          : 0.62
attempt         : 0.64          : 0.62
whistle         : 0.64          : 0.62
thrown          : 0.64          : 0.62
astonishment    : 0.64          : 0.62
fallen          : 0.64          : 0.62
immense         : 0.64          : 0.62
crop            : 0.64          : 0.62
bag             : 0.63          : 0.62
beneath         : 0.63          : 0.62
metal           : 0.63          : 0.62
solution        : 0.63          : 0.62
ceiling         : 0.63          : 0.62
convinced       : 0.63          : 0.62
carefully       : 0.63          : 0.62
occasionally    : 0.63          : 0.62
chain           : 0.63          : 0.62
wild            : 0.63          : 0.62
disappearance   : 0.63          : 0.62
cheeks          : 0.63          : 0.62
spent           : 0.63          : 0.62
frequently      : 0.63          : 0.62
affairs         : 0.63          : 0.62
loss            : 0.63          : 0.62
farther         : 0.63          : 0.62
merely          : 0.63          : 0.62
knees           : 0.63          : 0.62
seized          : 0.63          : 0.62
success         : 0.63          : 0.62
solved          : 0.63          : 0.62
corridor        : 0.63          : 0.62
lantern         : 0.63          : 0.62
intention       : 0.63          : 0.62
sorry           : 0.63          : 0.62
lose            : 0.63          : 0.62
aware           : 0.63          : 0.62
secure          : 0.63          : 0.62
surely          : 0.63          : 0.62
ears            : 0.63          : 0.62
vanished        : 0.63          : 0.62
pen             : 0.63          : 0.62
correct         : 0.63          : 0.62
books           : 0.62          : 0.62
cross           : 0.62          : 0.62
winchester      : 0.62          : 0.62
marked          : 0.62          : 0.62
probable        : 0.62          : 0.62
horsham         : 0.62          : 0.62
play            : 0.62          : 0.62
press           : 0.62          : 0.62
mere            : 0.62          : 0.62
christmas       : 0.62          : 0.62
marks           : 0.62          : 0.62
visit           : 0.62          : 0.62
mouth           : 0.62          : 0.62
duty            : 0.62          : 0.62
saying          : 0.62          : 0.62
grounds         : 0.62          : 0.62
book            : 0.62          : 0.62
soul            : 0.62          : 0.62
twisted         : 0.62          : 0.62
upper           : 0.62          : 0.62
fastened        : 0.62          : 0.62
pavement        : 0.62          : 0.62
ordered         : 0.62          : 0.62
assistance      : 0.62          : 0.62
bar             : 0.62          : 0.62
vague           : 0.62          : 0.62
shadow          : 0.62          : 0.62
mark            : 0.62          : 0.62
spite           : 0.62          : 0.62
easily          : 0.62          : 0.62
managed         : 0.62          : 0.62
lead            : 0.62          : 0.62
profession      : 0.62          : 0.62
putting         : 0.62          : 0.62
angry           : 0.62          : 0.62
hydraulic       : 0.62          : 0.62
worth           : 0.62          : 0.62
data            : 0.61          : 0.62
longer          : 0.61          : 0.62
watch           : 0.61          : 0.62
conversation    : 0.61          : 0.62
study           : 0.61          : 0.62
sinister        : 0.61          : 0.62
shutters        : 0.61          : 0.62
picked          : 0.61          : 0.62
learned         : 0.61          : 0.62
unfortunate     : 0.61          : 0.62
suit            : 0.61          : 0.62
henry           : 0.61          : 0.62
coloured        : 0.61          : 0.62
favour          : 0.58          : 0.56
suggestive      : 0.58          : 0.56
lie             : 0.58          : 0.56
lies            : 0.58          : 0.56
gained          : 0.57          : 0.56
keenly          : 0.57          : 0.56
circle          : 0.57          : 0.56
land            : 0.57          : 0.56
thoroughly      : 0.57          : 0.56
habits          : 0.57          : 0.56
disappeared     : 0.57          : 0.56
deadly          : 0.57          : 0.56
general         : 0.57          : 0.56
game            : 0.57          : 0.56
arrested        : 0.57          : 0.56
shortly         : 0.57          : 0.56
presently       : 0.57          : 0.56
pa              : 0.57          : 0.56
stepped         : 0.57          : 0.56
