Expected value: 2148.375
Variance: 1074.1875
Standard deviation: 32.774799770555425

Mean absolute error: 32225.0864
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 1998
Largest counter value: 2321

Mean counter value: 2148.9136
Mean absolute deviation: 35.65207648
Standard deviation: 44.778324388480634
Maximum deviation: 172.08640000000014
Variance: 2005.0983350399997

Mean Counter Values per Word:
Word : Counter Value : Expected Value
morrer          : 1.37          : 1.38
respondeu       : 1.36          : 1.38
deu             : 1.36          : 1.38
viagem          : 1.35          : 1.38
seja            : 1.33          : 1.31
hotel           : 1.32          : 1.31
necessario      : 1.32          : 1.31
jardim          : 1.32          : 1.31
manhã           : 1.31          : 1.31
officiaes       : 1.31          : 1.31
romance         : 1.31          : 1.31
situação        : 1.31          : 1.31
tomou           : 1.29          : 1.31
escrever        : 1.26          : 1.25
cavallos        : 1.26          : 1.25
peito           : 1.26          : 1.25
entrou          : 1.26          : 1.25
lenço           : 1.26          : 1.25
ceu             : 1.26          : 1.25
nicazio         : 1.26          : 1.25
entrar          : 1.25          : 1.25
ergueu          : 1.24          : 1.25
medico          : 1.23          : 1.25
doce            : 1.23          : 1.25
sophá           : 1.20          : 1.19
durante         : 1.20          : 1.19
amigos          : 1.19          : 1.19
amante          : 1.19          : 1.19
janella         : 1.19          : 1.19
creatura        : 1.19          : 1.19
seda            : 1.19          : 1.19
grito           : 1.19          : 1.19
lh              : 1.19          : 1.19
idéas           : 1.19          : 1.19
fallava         : 1.19          : 1.19
pequeno         : 1.19          : 1.19
cheio           : 1.18          : 1.19
oh              : 1.18          : 1.19
ruido           : 1.18          : 1.19
passar          : 1.18          : 1.19
houve           : 1.17          : 1.19
emtanto         : 1.17          : 1.19
ámanhã          : 1.15          : 1.12
vamos           : 1.14          : 1.12
sendo           : 1.14          : 1.12
visto           : 1.14          : 1.12
dizendo         : 1.14          : 1.12
forte           : 1.13          : 1.12
estamos         : 1.13          : 1.12
vá              : 1.13          : 1.12
marido          : 1.13          : 1.12
seio            : 1.13          : 1.12
alta            : 1.12          : 1.12
acaso           : 1.12          : 1.12
ficava          : 1.12          : 1.12
fallando        : 1.12          : 1.12
profundo        : 1.12          : 1.12
perigo          : 1.12          : 1.12
prima           : 1.09          : 1.06
verde           : 1.08          : 1.06
pareceu         : 1.08          : 1.06
melhor          : 1.08          : 1.06
mascara         : 1.07          : 1.06
seguida         : 1.07          : 1.06
dormir          : 1.07          : 1.06
encontro        : 1.07          : 1.06
leve            : 1.07          : 1.06
consciencia     : 1.07          : 1.06
