Expected value: 620.9375
Variance: 310.46875
Standard deviation: 17.62012343884117

Mean absolute error: 9314.3868
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 532
Largest counter value: 718

Mean counter value: 620.6132
Mean absolute deviation: 19.2014924
Standard deviation: 24.136233876891396
Maximum deviation: 97.3868
Variance: 582.5577857599999

Mean Counter Values per Word:
Word : Counter Value : Expected Value
instante        : 0.44          : 0.44
manos           : 0.44          : 0.44
alma            : 0.44          : 0.44
raquel          : 0.44          : 0.44
quieres         : 0.44          : 0.44
sigüenza        : 0.44          : 0.44
queda           : 0.44          : 0.44
aljalamita      : 0.44          : 0.44
vase            : 0.44          : 0.44
cueva           : 0.44          : 0.44
estuche         : 0.44          : 0.44
déjame          : 0.44          : 0.44
fuente          : 0.43          : 0.44
nobles          : 0.43          : 0.44
valle           : 0.43          : 0.44
faféz           : 0.43          : 0.44
basta           : 0.43          : 0.44
tiempo          : 0.43          : 0.44
amo             : 0.43          : 0.44
rezaida         : 0.43          : 0.44
vengarme        : 0.43          : 0.44
horror          : 0.43          : 0.44
serie           : 0.43          : 0.44
pedro           : 0.43          : 0.44
hija            : 0.43          : 0.44
ninón           : 0.39          : 0.38
tienes          : 0.39          : 0.38
cuentos         : 0.38          : 0.38
sabré           : 0.38          : 0.38
atrás           : 0.38          : 0.38
triste          : 0.38          : 0.38
castilla        : 0.38          : 0.38
d               : 0.38          : 0.38
habéis          : 0.38          : 0.38
judías          : 0.38          : 0.38
primo           : 0.38          : 0.38
ven             : 0.38          : 0.38
alguien         : 0.38          : 0.38
puedes          : 0.38          : 0.38
tomar           : 0.38          : 0.38
pie             : 0.38          : 0.38
favor           : 0.38          : 0.38
verso           : 0.38          : 0.38
robar           : 0.38          : 0.38
clavel          : 0.38          : 0.38
º               : 0.38          : 0.38
saca            : 0.38          : 0.38
matalla         : 0.38          : 0.38
vió             : 0.38          : 0.38
torreón         : 0.38          : 0.38
sabéis          : 0.38          : 0.38
reñir           : 0.38          : 0.38
hablar          : 0.37          : 0.38
cabo            : 0.37          : 0.38
rodillas        : 0.37          : 0.38
aldana          : 0.37          : 0.38
maestros        : 0.37          : 0.38
aqueste         : 0.37          : 0.38
oculta          : 0.37          : 0.38
allá            : 0.37          : 0.38
caer            : 0.37          : 0.38
pobre           : 0.37          : 0.38
hice            : 0.37          : 0.38
oliva           : 0.37          : 0.38
ocurre          : 0.37          : 0.38
escuché         : 0.37          : 0.38
veinte          : 0.37          : 0.38
ocasión         : 0.37          : 0.38
trova           : 0.37          : 0.38
grito           : 0.32          : 0.31
ved             : 0.32          : 0.31
ves             : 0.32          : 0.31
infeliz         : 0.32          : 0.31
pasa            : 0.32          : 0.31
levantándose    : 0.32          : 0.31
do              : 0.32          : 0.31
vedia           : 0.32          : 0.31
historia        : 0.32          : 0.31
manso           : 0.32          : 0.31
sabido          : 0.32          : 0.31
ptas            : 0.32          : 0.31
clava           : 0.32          : 0.31
comprendo       : 0.32          : 0.31
decís           : 0.32          : 0.31
señores         : 0.32          : 0.31
espanto         : 0.31          : 0.31
cadáver         : 0.31          : 0.31
mientes         : 0.31          : 0.31
diga            : 0.31          : 0.31
estás           : 0.31          : 0.31
muñoz           : 0.31          : 0.31
vii             : 0.31          : 0.31
frente          : 0.31          : 0.31
infame          : 0.31          : 0.31
pecado          : 0.31          : 0.31
fuego           : 0.31          : 0.31
galerías        : 0.31          : 0.31
matar           : 0.31          : 0.31
juglar          : 0.31          : 0.31
pedazos         : 0.31          : 0.31
silencio        : 0.31          : 0.31
amar            : 0.31          : 0.31
puesto          : 0.31          : 0.31
mundo           : 0.31          : 0.31
aquesta         : 0.31          : 0.31
viejo           : 0.31          : 0.31
alá             : 0.31          : 0.31
fuí             : 0.31          : 0.31
perdido         : 0.31          : 0.31
emparedado      : 0.31          : 0.31
dueña           : 0.31          : 0.31
pura            : 0.31          : 0.31
importa         : 0.31          : 0.31
decid           : 0.31          : 0.31
labios          : 0.31          : 0.31
luna            : 0.31          : 0.31
obra            : 0.31          : 0.31
saco            : 0.31          : 0.31
suena           : 0.31          : 0.31
silbido         : 0.31          : 0.31
sucede          : 0.31          : 0.31
gil             : 0.31          : 0.31
llega           : 0.31          : 0.31
boda            : 0.31          : 0.31
cuarta          : 0.31          : 0.31
luis            : 0.31          : 0.31
ara             : 0.31          : 0.31
sol             : 0.31          : 0.31
capitán         : 0.31          : 0.31
haré            : 0.30          : 0.31
vas             : 0.30          : 0.31
cosas           : 0.30          : 0.31
marcial         : 0.30          : 0.31
justo           : 0.26          : 0.25
efeto           : 0.26          : 0.25
cabeza          : 0.26          : 0.25
queréis         : 0.26          : 0.25
ruido           : 0.26          : 0.25
puño            : 0.26          : 0.25
quiñones        : 0.26          : 0.25
hiere           : 0.26          : 0.25
baños           : 0.26          : 0.25
tesoro          : 0.26          : 0.25
estimo          : 0.26          : 0.25
juego           : 0.26          : 0.25
tragedia        : 0.25          : 0.25
cayó            : 0.25          : 0.25
trece           : 0.25          : 0.25
toca            : 0.25          : 0.25
madre           : 0.25          : 0.25
señal           : 0.25          : 0.25
agujero         : 0.25          : 0.25
banderillas     : 0.25          : 0.25
cómica          : 0.25          : 0.25
rosa            : 0.25          : 0.25
toros           : 0.25          : 0.25
consultar       : 0.25          : 0.25
camarada        : 0.25          : 0.25
san             : 0.25          : 0.25
crespo          : 0.25          : 0.25
perjura         : 0.25          : 0.25
oí              : 0.25          : 0.25
afrenta         : 0.25          : 0.25
canto           : 0.25          : 0.25
rato            : 0.25          : 0.25
madrid          : 0.25          : 0.25
puertas         : 0.25          : 0.25
ripio           : 0.25          : 0.25
abre            : 0.25          : 0.25
prisión         : 0.25          : 0.25
miedo           : 0.25          : 0.25
corte           : 0.25          : 0.25
morirás         : 0.25          : 0.25
sonata          : 0.25          : 0.25
pasas           : 0.25          : 0.25
plantas         : 0.25          : 0.25
naipe           : 0.25          : 0.25
traición        : 0.25          : 0.25
acuden          : 0.25          : 0.25
baldón          : 0.25          : 0.25
fuerza          : 0.25          : 0.25
cayendo         : 0.25          : 0.25
hablad          : 0.25          : 0.25
vuelve          : 0.25          : 0.25
escudo          : 0.25          : 0.25
izquierdo       : 0.25          : 0.25
pidió           : 0.25          : 0.25
barrera         : 0.25          : 0.25
abraza          : 0.25          : 0.25
vine            : 0.25          : 0.25
dijiste         : 0.25          : 0.25
by              : 0.25          : 0.25
levantarse      : 0.25          : 0.25
caso            : 0.25          : 0.25
premiada        : 0.25          : 0.25
lengua          : 0.25          : 0.25
i               : 0.25          : 0.25
seguida         : 0.25          : 0.25
noches          : 0.25          : 0.25
alta            : 0.25          : 0.25
desmayada       : 0.25          : 0.25
plegue          : 0.25          : 0.25
coba            : 0.25          : 0.25
hermosa         : 0.25          : 0.25
oro             : 0.25          : 0.25
dolor           : 0.25          : 0.25
beso            : 0.25          : 0.25
sitio           : 0.25          : 0.25
oscuro          : 0.25          : 0.25
ediciones       : 0.25          : 0.25
española        : 0.25          : 0.25
poesía          : 0.25          : 0.25
aves            : 0.25          : 0.25
altivez         : 0.25          : 0.25
camastro        : 0.25          : 0.25
mansos          : 0.25          : 0.25
celos           : 0.25          : 0.25
toma            : 0.25          : 0.25
ilustraciones   : 0.25          : 0.25
hablando        : 0.25          : 0.25
entrar          : 0.25          : 0.25
pardiez         : 0.25          : 0.25
amistad         : 0.25          : 0.25
duelo           : 0.25          : 0.25
paz             : 0.25          : 0.25
carmesí         : 0.25          : 0.25
hombres         : 0.25          : 0.25
marido          : 0.25          : 0.25
tirso           : 0.25          : 0.25
fuerzas         : 0.25          : 0.25
amores          : 0.25          : 0.25
venid           : 0.25          : 0.25
cristo          : 0.25          : 0.25
estremece       : 0.24          : 0.25
valido          : 0.24          : 0.25
permitid        : 0.24          : 0.25
baja            : 0.24          : 0.25
quisiera        : 0.24          : 0.25
espejo          : 0.24          : 0.25
conmovido       : 0.24          : 0.25
cárcel          : 0.24          : 0.25
lumbre          : 0.24          : 0.25
diciendo        : 0.24          : 0.25
loco            : 0.24          : 0.25
satanás         : 0.24          : 0.25
fondo           : 0.24          : 0.25
vilmente        : 0.24          : 0.25
llegar          : 0.24          : 0.25
pagar           : 0.24          : 0.25
josé            : 0.24          : 0.25
rostro          : 0.24          : 0.25
arroja          : 0.24          : 0.25
estancia        : 0.24          : 0.25
claraboya       : 0.24          : 0.25
garcía          : 0.24          : 0.25
ira             : 0.24          : 0.25
años            : 0.20          : 0.19
frases          : 0.20          : 0.19
martes          : 0.20          : 0.19
altura          : 0.20          : 0.19
vienen          : 0.20          : 0.19
pierde          : 0.20          : 0.19
muda            : 0.20          : 0.19
orgullo         : 0.20          : 0.19
terció          : 0.20          : 0.19
