Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.46
Mean relative error: 1.88%
Mean accuracy ratio: 98.12%

Smallest counter value: 1619
Largest counter value: 1842

Mean counter value: 1723.81
Mean absolute deviation: 32.41479999999999
Standard deviation: 41.5980035578632
Maximum deviation: 118.19000000000005
Variance: 1730.3938999999998

Mean Counter Values per Word:
Word : Counter Value : Expected Value
memória         : 1.19          : 1.44
campos          : 1.17          : 1.25
irado           : 1.17          : 1.19
sublime         : 1.16          : 1.12
despois         : 1.16          : 1.19
divina          : 1.15          : 1.25
fé              : 1.15          : 1.00
temor           : 1.15          : 1.25
profundo        : 1.14          : 1.12
tantos          : 1.13          : 1.19
nela            : 1.13          : 1.06
paz             : 1.13          : 1.06
ira             : 1.13          : 1.00
potente         : 1.13          : 1.00
triste          : 1.13          : 1.06
oriente         : 1.12          : 1.12
monte           : 1.12          : 1.12
senhor          : 1.12          : 1.06
alegria         : 1.12          : 1.31
português       : 1.12          : 1.06
mãos            : 1.12          : 1.19
grã             : 1.11          : 1.06
idade           : 1.11          : 1.19
virtude         : 1.11          : 1.00
baco            : 1.10          : 1.00
torna           : 1.10          : 1.00
castela         : 1.10          : 1.00
ledo            : 1.10          : 1.12
lança           : 1.09          : 1.12
toma            : 1.09          : 1.06
daqui           : 1.08          : 1.00
perigo          : 1.08          : 1.06
firme           : 1.07          : 1.06
fria            : 1.07          : 1.12
tomar           : 1.06          : 1.19
corre           : 1.06          : 1.00
cristo          : 1.06          : 1.25
deu             : 1.06          : 0.94
clara           : 1.05          : 1.12
juntamente      : 1.05          : 1.12
luso            : 1.05          : 1.00
manha           : 1.04          : 0.94
velas           : 1.04          : 1.25
ninfas          : 1.04          : 1.25
trazia          : 1.04          : 1.00
sereno          : 1.03          : 1.12
dom             : 1.03          : 1.00
sós             : 1.03          : 0.94
terreno         : 1.02          : 0.94
rico            : 1.02          : 0.94
maneira         : 1.02          : 0.94
seguro          : 1.01          : 1.06
cores           : 1.01          : 1.06
deixa           : 1.01          : 0.94
batéis          : 1.00          : 0.94
piloto          : 1.00          : 1.06
lusitana        : 0.99          : 1.12
vitórias        : 0.99          : 0.81
cabo            : 0.99          : 1.00
cavaleiro       : 0.98          : 1.00
assento         : 0.98          : 0.88
horrendo        : 0.98          : 1.06
pôr             : 0.98          : 0.88
amores          : 0.98          : 1.19
má              : 0.98          : 0.81
indo            : 0.97          : 0.94
anda            : 0.97          : 0.81
causa           : 0.97          : 0.81
reinos          : 0.97          : 1.00
cabeça          : 0.97          : 1.00
anos            : 0.97          : 0.94
passa           : 0.96          : 1.06
veio            : 0.96          : 0.88
amigo           : 0.96          : 0.88
estende         : 0.95          : 0.88
ama             : 0.95          : 1.00
animais         : 0.95          : 0.81
filha           : 0.95          : 1.06
noite           : 0.94          : 0.94
antigos         : 0.94          : 0.94
estando         : 0.94          : 0.75
famosa          : 0.93          : 0.81
forças          : 0.93          : 1.12
mostrando       : 0.93          : 0.81
prémio          : 0.93          : 0.88
espanha         : 0.93          : 0.81
honras          : 0.93          : 0.88
usado           : 0.93          : 0.88
melhor          : 0.93          : 0.88
eterna          : 0.93          : 0.88
bravo           : 0.92          : 0.88
vénus           : 0.92          : 0.88
destes          : 0.92          : 0.94
soberbo         : 0.92          : 0.94
presa           : 0.91          : 0.75
estrelas        : 0.91          : 0.94
flores          : 0.91          : 0.94
ninfa           : 0.91          : 1.00
júpiter         : 0.90          : 0.81
esperança       : 0.89          : 0.88
ficou           : 0.89          : 0.88
damas           : 0.89          : 0.81
começa          : 0.88          : 0.88
áfrica          : 0.88          : 0.88
engenho         : 0.88          : 0.81
nisto           : 0.88          : 0.88
ânimo           : 0.88          : 0.69
cidades         : 0.88          : 0.81
quantos         : 0.87          : 0.69
vontade         : 0.87          : 1.00
pensamento      : 0.87          : 0.94
serra           : 0.87          : 0.81
geração         : 0.87          : 0.94
senão           : 0.87          : 0.88
casos           : 0.87          : 0.81
larga           : 0.86          : 0.94
f               : 0.86          : 0.88
exército        : 0.86          : 0.81
alma            : 0.86          : 1.00
ilhas           : 0.86          : 0.88
altas           : 0.85          : 0.75
praia           : 0.85          : 0.94
deseja          : 0.85          : 0.88
mortos          : 0.85          : 0.88
fúria           : 0.85          : 0.75
nau             : 0.85          : 1.00
fala            : 0.84          : 0.75
aurora          : 0.84          : 0.75
raios           : 0.84          : 0.75
soberba         : 0.84          : 1.00
sábio           : 0.84          : 0.81
aves            : 0.84          : 0.75
bárbaro         : 0.83          : 0.75
pôs             : 0.83          : 0.75
deles           : 0.83          : 0.81
feia            : 0.83          : 0.75
queria          : 0.82          : 0.62
poucos          : 0.82          : 0.81
leis            : 0.82          : 0.88
muitas          : 0.82          : 0.81
responde        : 0.81          : 0.88
vir             : 0.81          : 1.06
castelhano      : 0.81          : 0.88
costumes        : 0.81          : 0.75
pólo            : 0.81          : 0.94
braços          : 0.81          : 0.88
alegre          : 0.80          : 0.81
razões          : 0.80          : 0.75
setas           : 0.80          : 0.81
natureza        : 0.80          : 0.69
tomou           : 0.80          : 0.75
jugo            : 0.80          : 0.81
deixando        : 0.80          : 0.88
vela            : 0.79          : 0.75
espanto         : 0.79          : 0.81
cousas          : 0.79          : 0.81
desejada        : 0.79          : 0.69
homens          : 0.79          : 0.81
assi            : 0.79          : 0.69
tendo           : 0.78          : 0.62
falso           : 0.78          : 0.94
língua          : 0.78          : 0.75
estreito        : 0.78          : 0.75
rudo            : 0.78          : 0.56
senhores        : 0.78          : 0.81
furor           : 0.77          : 0.81
tomando         : 0.77          : 0.75
puro            : 0.77          : 0.75
