Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
consider        : 3.00          : 0.44
feeling         : 3.00          : 1.06
clair           : 3.00          : 1.69
stoke           : 3.00          : 0.69
adventures      : 2.00          : 0.38
mystery         : 2.00          : 1.38
reasoning       : 2.00          : 0.69
things          : 2.00          : 1.69
excellent       : 2.00          : 1.19
deeply          : 2.00          : 0.75
following       : 2.00          : 0.75
vague           : 2.00          : 0.62
account         : 2.00          : 1.25
companion       : 2.00          : 2.12
rooms           : 2.00          : 1.81
looked          : 2.00          : 3.19
swiftly         : 2.00          : 0.88
head            : 2.00          : 4.25
new             : 2.00          : 1.88
kindly          : 2.00          : 1.00
armchair        : 2.00          : 0.94
stood           : 2.00          : 2.19
fancy           : 2.00          : 0.94
tell            : 2.00          : 6.19
true            : 2.00          : 1.81
walk            : 2.00          : 0.94
given           : 2.00          : 2.00
double          : 2.00          : 1.00
london          : 2.00          : 2.56
gentleman       : 2.00          : 2.81
laughing        : 2.00          : 1.12
hear            : 2.00          : 2.00
lead            : 2.00          : 0.62
times           : 2.00          : 1.12
thick           : 2.00          : 0.88
read            : 2.00          : 2.25
quarter         : 2.00          : 0.69
recent          : 2.00          : 0.38
hour            : 2.00          : 2.19
means           : 2.00          : 1.19
mistake         : 2.00          : 0.31
paper           : 2.00          : 2.75
written         : 2.00          : 1.25
hold            : 2.00          : 0.50
brown           : 2.00          : 1.00
death           : 2.00          : 1.94
wanted          : 2.00          : 0.69
mistaken        : 2.00          : 0.50
followed        : 2.00          : 1.56
money           : 2.00          : 2.75
best            : 2.00          : 1.94
outside         : 2.00          : 1.50
feet            : 2.00          : 1.75
limbs           : 2.00          : 0.44
shoulders       : 2.00          : 1.00
boots           : 2.00          : 1.06
carried         : 2.00          : 1.38
