Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
soone           : 0.70          : 0.69
place           : 0.70          : 0.69
yeares          : 0.70          : 0.69
hate            : 0.70          : 0.69
samp            : 0.70          : 0.69
ladies          : 0.70          : 0.69
shalt           : 0.70          : 0.69
marriage        : 0.70          : 0.69
kisse           : 0.69          : 0.69
sweete          : 0.69          : 0.69
hee             : 0.69          : 0.69
thine           : 0.69          : 0.69
warrant         : 0.69          : 0.69
ho              : 0.69          : 0.69
late            : 0.69          : 0.69
hearts          : 0.69          : 0.69
goodnight       : 0.69          : 0.69
beene           : 0.69          : 0.69
alacke          : 0.68          : 0.69
church          : 0.68          : 0.69
set             : 0.68          : 0.69
pale            : 0.68          : 0.69
bring           : 0.68          : 0.69
ore             : 0.68          : 0.69
cozin           : 0.68          : 0.69
mu              : 0.68          : 0.69
eares           : 0.64          : 0.62
happy           : 0.64          : 0.62
himselfe        : 0.63          : 0.62
greg            : 0.63          : 0.62
gentlemen       : 0.63          : 0.62
flower          : 0.63          : 0.62
need            : 0.63          : 0.62
verona          : 0.63          : 0.62
high            : 0.63          : 0.62
sight           : 0.63          : 0.62
blacke          : 0.63          : 0.62
tongue          : 0.63          : 0.62
siluer          : 0.63          : 0.62
sun             : 0.62          : 0.62
kill            : 0.62          : 0.62
kinsman         : 0.62          : 0.62
rich            : 0.62          : 0.62
ground          : 0.62          : 0.62
griefe          : 0.62          : 0.62
saw             : 0.62          : 0.62
way             : 0.62          : 0.62
lay             : 0.61          : 0.62
fire            : 0.61          : 0.62
onely           : 0.58          : 0.56
exit            : 0.57          : 0.56
meanes          : 0.57          : 0.56
tibalt          : 0.57          : 0.56
woe             : 0.57          : 0.56
case            : 0.57          : 0.56
lawrence        : 0.57          : 0.56
ye              : 0.57          : 0.56
nere            : 0.57          : 0.56
words           : 0.57          : 0.56
quarrell        : 0.56          : 0.56
great           : 0.56          : 0.56
wast            : 0.56          : 0.56
meane           : 0.56          : 0.56
ro              : 0.56          : 0.56
moue            : 0.56          : 0.56
musicke         : 0.56          : 0.56
care            : 0.56          : 0.56
rosaline        : 0.56          : 0.56
weepe           : 0.56          : 0.56
desperate       : 0.56          : 0.56
times           : 0.56          : 0.56
vnto            : 0.56          : 0.56
iohn            : 0.56          : 0.56
answere         : 0.56          : 0.56
forget          : 0.55          : 0.56
comfort         : 0.55          : 0.56
dreame          : 0.55          : 0.56
la              : 0.55          : 0.56
maid            : 0.55          : 0.56
noble           : 0.55          : 0.56
found           : 0.51          : 0.50
shew            : 0.51          : 0.50
body            : 0.51          : 0.50
woes            : 0.51          : 0.50
cloudes         : 0.51          : 0.50
bones           : 0.51          : 0.50
past            : 0.51          : 0.50
bound           : 0.51          : 0.50
wofull          : 0.50          : 0.50
mens            : 0.50          : 0.50
louing          : 0.50          : 0.50
things          : 0.50          : 0.50
wall            : 0.50          : 0.50
houres          : 0.50          : 0.50
anon            : 0.50          : 0.50
hauing          : 0.50          : 0.50
goose           : 0.50          : 0.50
thought         : 0.50          : 0.50
vile            : 0.50          : 0.50
sea             : 0.50          : 0.50
bite            : 0.50          : 0.50
daies           : 0.50          : 0.50
play            : 0.50          : 0.50
torch           : 0.50          : 0.50
moun            : 0.50          : 0.50
sorrow          : 0.50          : 0.50
vault           : 0.50          : 0.50
hide            : 0.50          : 0.50
sweare          : 0.50          : 0.50
weele           : 0.50          : 0.50
bin             : 0.50          : 0.50
names           : 0.50          : 0.50
inough          : 0.49          : 0.50
welcome         : 0.49          : 0.50
sam             : 0.49          : 0.50
alas            : 0.49          : 0.50
aboue           : 0.45          : 0.44
foote           : 0.45          : 0.44
behold          : 0.45          : 0.44
coarse          : 0.45          : 0.44
marke           : 0.45          : 0.44
writ            : 0.45          : 0.44
sudden          : 0.45          : 0.44
feele           : 0.45          : 0.44
flesh           : 0.44          : 0.44
sword           : 0.44          : 0.44
beauty          : 0.44          : 0.44
lesse           : 0.44          : 0.44
fortune         : 0.44          : 0.44
morning         : 0.44          : 0.44
tombe           : 0.44          : 0.44
chamber         : 0.44          : 0.44
lookes          : 0.44          : 0.44
tender          : 0.44          : 0.44
measure         : 0.44          : 0.44
straight        : 0.44          : 0.44
short           : 0.44          : 0.44
follow          : 0.44          : 0.44
fetch           : 0.44          : 0.44
sicke           : 0.44          : 0.44
right           : 0.44          : 0.44
lad             : 0.44          : 0.44
beseech         : 0.44          : 0.44
cold            : 0.44          : 0.44
darke           : 0.44          : 0.44
starres         : 0.44          : 0.44
end             : 0.44          : 0.44
hie             : 0.43          : 0.44
hit             : 0.43          : 0.44
mind            : 0.43          : 0.44
sit             : 0.43          : 0.44
hot             : 0.43          : 0.44
tale            : 0.43          : 0.44
capulets        : 0.43          : 0.44
thousand        : 0.43          : 0.44
mountagues      : 0.43          : 0.44
t               : 0.43          : 0.44
honest          : 0.43          : 0.44
marry           : 0.43          : 0.44
m               : 0.43          : 0.44
close           : 0.43          : 0.44
booke           : 0.43          : 0.44
counsell        : 0.43          : 0.44
tybalts         : 0.43          : 0.44
mistresse       : 0.42          : 0.44
matter          : 0.39          : 0.38
doome           : 0.39          : 0.38
seene           : 0.39          : 0.38
tooke           : 0.39          : 0.38
serue           : 0.39          : 0.38
eare            : 0.38          : 0.38
nights          : 0.38          : 0.38
arme            : 0.38          : 0.38
cheekes         : 0.38          : 0.38
cheeke          : 0.38          : 0.38
fiue            : 0.38          : 0.38
calls           : 0.38          : 0.38
age             : 0.38          : 0.38
deepe           : 0.38          : 0.38
exile           : 0.38          : 0.38
slew            : 0.38          : 0.38
pa              : 0.38          : 0.38
youth           : 0.38          : 0.38
strange         : 0.38          : 0.38
heads           : 0.38          : 0.38
shewes          : 0.38          : 0.38
princes         : 0.38          : 0.38
monument        : 0.38          : 0.38
thanke          : 0.38          : 0.38
stop            : 0.38          : 0.38
remember        : 0.38          : 0.38
meete           : 0.38          : 0.38
vnlesse         : 0.38          : 0.38
larke           : 0.37          : 0.38
foole           : 0.37          : 0.38
home            : 0.37          : 0.38
wish            : 0.37          : 0.38
louers          : 0.37          : 0.38
feast           : 0.37          : 0.38
ayre            : 0.37          : 0.38
vnder           : 0.37          : 0.38
letters         : 0.37          : 0.38
saint           : 0.37          : 0.38
th              : 0.37          : 0.38
hang            : 0.37          : 0.38
kind            : 0.37          : 0.38
kil             : 0.37          : 0.38
capu            : 0.37          : 0.38
banishment      : 0.37          : 0.38
maister         : 0.37          : 0.38
enuious         : 0.37          : 0.38
strength        : 0.37          : 0.38
fie             : 0.37          : 0.38
fourteene       : 0.36          : 0.38
proue           : 0.36          : 0.38
open            : 0.36          : 0.38
read            : 0.36          : 0.38
hurt            : 0.36          : 0.38
friends         : 0.33          : 0.31
