Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
peleja          : 2.00          : 0.50
dio             : 2.00          : 0.50
mão             : 2.00          : 1.56
sono            : 2.00          : 0.81
dava            : 2.00          : 0.56
noutra          : 2.00          : 0.44
passos          : 2.00          : 0.44
suave           : 2.00          : 0.56
respeito        : 2.00          : 0.56
cavaleiros      : 2.00          : 0.56
ferro           : 2.00          : 1.62
costume         : 2.00          : 0.44
feia            : 2.00          : 0.75
exercício       : 2.00          : 0.25
rios            : 2.00          : 0.56
tomando         : 2.00          : 0.75
conhece         : 2.00          : 0.44
houve           : 2.00          : 0.38
injúria         : 2.00          : 0.38
digno           : 2.00          : 0.38
conquista       : 2.00          : 0.31
moniz           : 2.00          : 0.19
mando           : 2.00          : 0.50
cabo            : 2.00          : 1.00
tinge           : 2.00          : 0.25
anos            : 2.00          : 0.94
estranhos       : 2.00          : 0.31
sede            : 2.00          : 0.31
morta           : 2.00          : 0.19
mágoa           : 2.00          : 0.38
donzela         : 2.00          : 0.31
amores          : 2.00          : 1.19
cheiro          : 2.00          : 0.38
formosura       : 2.00          : 0.31
tira            : 2.00          : 0.31
famas           : 2.00          : 0.25
alegra          : 2.00          : 0.25
descendo        : 2.00          : 0.12
tamanha         : 2.00          : 0.38
licença         : 2.00          : 0.31
tributo         : 2.00          : 0.31
maria           : 1.00          : 0.25
luís            : 1.00          : 0.12
camões          : 1.00          : 0.06
canto           : 1.00          : 1.50
barões          : 1.00          : 0.56
praia           : 1.00          : 0.94
lusitana        : 1.00          : 1.12
navegados       : 1.00          : 0.12
edificaram      : 1.00          : 0.12
império         : 1.00          : 1.00
áfrica          : 1.00          : 0.88
obras           : 1.00          : 1.50
morte           : 1.00          : 3.06
cessem          : 1.00          : 0.06
sábio           : 1.00          : 0.81
grego           : 1.00          : 0.06
alexandro       : 1.00          : 0.25
peito           : 1.00          : 4.75
ilustre         : 1.00          : 2.62
lusitano        : 1.00          : 1.56
mim             : 1.00          : 0.62
verso           : 1.00          : 0.38
estilo          : 1.00          : 0.31
febo            : 1.00          : 0.56
inveja          : 1.00          : 0.31
ruda            : 1.00          : 0.19
feitos          : 1.00          : 2.19
famosa          : 1.00          : 0.81
sublime         : 1.00          : 1.12
pequena         : 1.00          : 0.62
temor           : 1.00          : 1.25
