Expected value: 9129.9375
Variance: 4564.96875
Standard deviation: 67.56455246651161

Mean absolute error: 69.7125
Mean relative error: 0.76%
Mean accuracy ratio: 99.24%

Smallest counter value: 9043
Largest counter value: 9345

Mean counter value: 9169.5
Mean absolute deviation: 64.9
Standard deviation: 86.43986348901761
Maximum deviation: 175.5
Variance: 7471.85

Mean Counter Values per Word:
Word : Counter Value : Expected Value
don             : 168.40        : 169.62
quijote         : 144.50        : 140.06
sancho          : 140.30        : 135.88
respondió       : 70.50         : 66.44
señor           : 68.40         : 66.56
merced          : 53.90         : 56.25
caballero       : 41.20         : 42.31
señora          : 31.60         : 32.38
dios            : 30.70         : 33.19
mundo           : 26.10         : 24.75
cosa            : 26.00         : 27.94
cosas           : 23.40         : 22.75
lugar           : 22.70         : 21.56
digo            : 22.40         : 20.19
panza           : 22.30         : 22.00
casa            : 21.10         : 20.94
vida            : 20.90         : 22.38
ojos            : 20.20         : 17.81
puesto          : 19.70         : 19.25
amo             : 19.60         : 18.62
mano            : 19.50         : 19.00
tiempo          : 18.90         : 20.44
dulcinea        : 18.80         : 17.88
escudero        : 18.70         : 15.56
cura            : 18.50         : 19.81
caballeros      : 18.10         : 18.31
quiero          : 17.50         : 16.31
tierra          : 17.00         : 17.19
camino          : 17.00         : 15.38
historia        : 16.80         : 16.38
vos             : 16.70         : 13.25
hombre          : 16.40         : 16.19
padre           : 16.10         : 16.19
visto           : 15.70         : 17.88
amigo           : 15.60         : 15.56
vio             : 15.40         : 15.56
manos           : 15.10         : 14.94
desta           : 15.10         : 14.88
mesmo           : 14.80         : 13.69
cabeza          : 14.60         : 13.50
cielo           : 14.00         : 15.75
mujer           : 13.70         : 14.31
punto           : 13.40         : 13.25
oh              : 13.30         : 11.81
rocinante       : 13.20         : 12.94
razones         : 13.10         : 12.62
diciendo        : 13.00         : 12.38
replicó         : 12.60         : 13.00
vuesa           : 12.50         : 12.69
caballo         : 12.50         : 12.38
gusto           : 12.50         : 12.12
parecer         : 12.40         : 12.62
duque           : 12.10         : 12.62
noche           : 11.90         : 13.19
podía           : 11.90         : 12.06
pie             : 11.80         : 12.06
decía           : 11.70         : 11.88
andante         : 11.60         : 12.31
mancha          : 11.60         : 11.75
has             : 11.60         : 9.75
barbero         : 11.40         : 10.69
fuese           : 11.30         : 13.00
voz             : 11.20         : 11.19
mil             : 11.10         : 12.00
gobernador      : 11.10         : 10.88
toboso          : 10.90         : 10.31
capítulo        : 10.80         : 9.56
hija            : 10.80         : 10.19
tanta           : 10.50         : 9.38
caballería      : 10.50         : 8.94
duda            : 10.40         : 11.12
viendo          : 10.40         : 9.44
andantes        : 10.30         : 10.12
armas           : 10.20         : 9.81
duquesa         : 10.10         : 12.00
comenzó         : 10.10         : 8.31
deste           : 10.10         : 9.31
nombre          : 10.00         : 11.31
entender        : 9.90          : 9.44
tales           : 9.80          : 9.69
caso            : 9.80          : 8.12
venta           : 9.80          : 9.25
gente           : 9.70          : 9.88
preguntó        : 9.70          : 8.69
persona         : 9.70          : 8.50
aventura        : 9.60          : 10.00
palabra         : 9.60          : 9.19
alma            : 9.60          : 9.56
quiso           : 9.60          : 9.88
iba             : 9.50          : 10.06
finalmente      : 9.50          : 8.31
voluntad        : 9.40          : 10.00
menester        : 9.30          : 9.25
señores         : 9.30          : 9.44
rostro          : 9.20          : 9.56
jamás           : 9.10          : 8.94
cuerpo          : 9.10          : 9.38
puso            : 9.10          : 8.94
salir           : 8.90          : 8.00
deseo           : 8.80          : 9.94
venía           : 8.80          : 9.44
camila          : 8.80          : 9.25
suerte          : 8.70          : 8.81
fuerza          : 8.70          : 8.06
anselmo         : 8.70          : 8.62
rey             : 8.70          : 8.62
agora           : 8.70          : 9.31
fernando        : 8.60          : 8.44
voces           : 8.50          : 8.25
vino            : 8.50          : 8.62
doncella        : 8.50          : 9.25
castillo        : 8.50          : 9.00
pies            : 8.50          : 8.56
razón           : 8.50          : 9.50
hermosa         : 8.30          : 8.94
ventura         : 8.20          : 9.69
suelo           : 8.20          : 8.81
libros          : 8.20          : 9.25
muerte          : 8.20          : 9.50
contento        : 8.10          : 7.50
palabras        : 8.00          : 7.81
rucio           : 7.90          : 7.44
corazón         : 7.90          : 8.81
amor            : 7.90          : 7.81
entrar          : 7.90          : 5.62
gobierno        : 7.80          : 7.31
causa           : 7.80          : 7.75
pienso          : 7.80          : 6.06
tantas          : 7.80          : 6.94
pasar           : 7.80          : 7.25
lengua          : 7.80          : 6.38
oído            : 7.70          : 7.94
ventero         : 7.70          : 7.38
dél             : 7.70          : 8.25
hermosura       : 7.70          : 7.69
muerto          : 7.70          : 6.75
lotario         : 7.70          : 8.88
hacía           : 7.60          : 7.25
años            : 7.60          : 8.56
bachiller       : 7.40          : 6.94
volvió          : 7.40          : 7.56
memoria         : 7.30          : 8.00
libro           : 7.20          : 7.75
fama            : 7.10          : 7.75
mitad           : 7.10          : 7.81
ínsula          : 7.10          : 7.44
dellos          : 7.00          : 6.12
comer           : 7.00          : 6.19
dejar           : 7.00          : 7.06
figura          : 7.00          : 7.06
orden           : 6.90          : 6.00
sabía           : 6.90          : 5.56
mala            : 6.90          : 8.31
habéis          : 6.90          : 6.94
pobre           : 6.80          : 6.19
dorotea         : 6.80          : 7.00
intención       : 6.80          : 6.69
remedio         : 6.80          : 4.69
boca            : 6.80          : 6.62
cuento          : 6.70          : 5.56
cabo            : 6.70          : 5.62
brazos          : 6.60          : 5.69
