Expected value: 9129.9375
Variance: 4564.96875
Standard deviation: 67.56455246651161

Mean absolute error: 108.9375
Mean relative error: 1.19%
Mean accuracy ratio: 98.81%

Smallest counter value: 9021
Largest counter value: 9021

Mean counter value: 9021.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
hidalgo         : 6.00          : 4.75
rey             : 6.00          : 8.62
famoso          : 6.00          : 6.00
sucesos         : 6.00          : 5.12
peligro         : 6.00          : 5.00
pasaba          : 6.00          : 3.69
grado           : 6.00          : 2.38
discreción      : 6.00          : 3.50
sacar           : 6.00          : 3.38
cautivo         : 6.00          : 2.88
ingenio         : 6.00          : 2.94
cerca           : 6.00          : 4.94
duquesa         : 6.00          : 12.00
altisidora      : 6.00          : 4.00
tales           : 6.00          : 9.69
dejar           : 6.00          : 7.06
espacio         : 6.00          : 4.50
della           : 6.00          : 6.50
caer            : 6.00          : 3.56
luz             : 6.00          : 4.38
deseo           : 6.00          : 9.94
creer           : 6.00          : 4.19
pudiera         : 6.00          : 5.56
triste          : 6.00          : 6.69
libre           : 6.00          : 3.69
ponerse         : 6.00          : 2.06
dije            : 6.00          : 4.06
quería          : 6.00          : 6.06
hermano         : 6.00          : 6.62
palabras        : 6.00          : 7.81
provecho        : 6.00          : 3.75
toca            : 6.00          : 3.00
ciudad          : 6.00          : 6.38
oro             : 6.00          : 5.88
lengua          : 6.00          : 6.38
buscar          : 6.00          : 6.56
dando           : 6.00          : 5.62
hallar          : 6.00          : 3.62
tomar           : 6.00          : 6.62
jumento         : 6.00          : 4.62
valor           : 6.00          : 5.31
rostro          : 6.00          : 9.56
lanza           : 6.00          : 4.00
pueblo          : 6.00          : 6.50
pareció         : 6.00          : 6.25
querer          : 6.00          : 4.00
ansí            : 6.00          : 3.94
princesa        : 6.00          : 3.44
propósito       : 6.00          : 2.94
vieron          : 6.00          : 3.62
mercedes        : 6.00          : 4.75
huésped         : 6.00          : 3.06
comer           : 6.00          : 6.19
servir          : 6.00          : 3.31
hubiese         : 6.00          : 3.69
hora            : 6.00          : 6.75
barbas          : 6.00          : 4.06
quedaron        : 6.00          : 3.69
enemigos        : 6.00          : 3.06
esposo          : 6.00          : 3.56
renegado        : 6.00          : 3.75
suceso          : 5.00          : 4.69
valeroso        : 5.00          : 4.88
pensó           : 5.00          : 1.88
acabó           : 5.00          : 3.75
armas           : 5.00          : 9.81
ama             : 5.00          : 4.75
sansón          : 5.00          : 4.81
teresa          : 5.00          : 5.62
noticia         : 5.00          : 4.25
cuya            : 5.00          : 5.19
grandeza        : 5.00          : 4.06
entendimiento   : 5.00          : 5.12
doncellas       : 5.00          : 4.50
dueña           : 5.00          : 5.06
carta           : 5.00          : 6.19
encantadores    : 5.00          : 4.00
hija            : 5.00          : 10.19
tantas          : 5.00          : 6.94
luna            : 5.00          : 2.56
llegaron        : 5.00          : 4.38
habiendo        : 5.00          : 5.38
di              : 5.00          : 2.69
trabajo         : 5.00          : 5.38
estás           : 5.00          : 2.12
cabo            : 5.00          : 5.62
tantos          : 5.00          : 6.19
cristiano       : 5.00          : 4.50
lejos           : 5.00          : 3.44
nombres         : 5.00          : 1.75
importa         : 5.00          : 1.50
mira            : 5.00          : 5.56
pan             : 5.00          : 4.06
hablar          : 5.00          : 6.06
patria          : 5.00          : 1.50
moro            : 5.00          : 3.06
muestra         : 5.00          : 2.94
asno            : 5.00          : 5.50
brazos          : 5.00          : 5.69
debía           : 5.00          : 7.00
reino           : 5.00          : 4.50
mañana          : 5.00          : 5.38
puerta          : 5.00          : 5.38
dejando         : 5.00          : 3.31
verdaderamente  : 5.00          : 3.00
sol             : 5.00          : 4.88
instante        : 5.00          : 2.81
gentil          : 5.00          : 2.31
señoras         : 5.00          : 3.12
llamado         : 5.00          : 2.62
reales          : 5.00          : 3.44
aire            : 5.00          : 3.38
agua            : 5.00          : 4.75
virtud          : 5.00          : 4.12
labrador        : 5.00          : 4.44
hijos           : 5.00          : 3.88
oficio          : 5.00          : 3.50
sangre          : 5.00          : 4.06
acabado         : 5.00          : 1.81
criados         : 5.00          : 4.00
levantó         : 5.00          : 2.38
palos           : 5.00          : 2.25
dijese          : 5.00          : 3.56
diablo          : 5.00          : 5.81
suele           : 5.00          : 5.44
vuelto          : 5.00          : 2.94
entraron        : 5.00          : 2.12
blanco          : 5.00          : 3.00
subir           : 5.00          : 2.69
dolor           : 5.00          : 3.75
quisiese        : 5.00          : 1.94
sepultura       : 5.00          : 2.25
dime            : 5.00          : 2.38
silla           : 5.00          : 4.06
especialmente   : 5.00          : 3.00
mármol          : 5.00          : 1.06
general         : 5.00          : 2.81
cuyas           : 5.00          : 1.75
llevaba         : 5.00          : 2.75
bacía           : 5.00          : 2.00
cristianos      : 5.00          : 4.38
majestad        : 5.00          : 1.88
trecientos      : 5.00          : 1.25
anselmo         : 5.00          : 8.62
oidor           : 5.00          : 2.50
zaragoza        : 5.00          : 1.31
ingenioso       : 4.00          : 1.81
condición       : 4.00          : 4.50
salió           : 4.00          : 5.50
desgracia       : 4.00          : 5.00
contó           : 4.00          : 3.38
